level,unit,week,lesson,word,syllables,sounds,definition,example_1,example_2,example_3,non_example,syntax,etymology,word_sums,suffixes,apply,dictation,thumbs
1,3,10,2,signature,sig | na | ture,,"A signature is a thing or symbol that is particular to a person, like how they write their name.",You must add your signature to official forms.,The chef’s signature dish is lasagna.,Barbie’s signature colour is hot pink.,"The uniform you wear to school is not your signature outfit, because it is for any student at the school and not particular to you.",noun :: Someone’s signature :: is unique to them. || adjective :: Lemon tart :: is my signature dessert.,"Signature is of Latin origin, from signare, meaning || ‘to mark with a stamp or sign’. || It was first used in English in the 1530s to refer to a Scottish legal document. In the 1570s, it started to be used to refer to someone’s name that they had written themselves. || Before then, if you wanted to refer to someone’s unique way of writing their name, you said sign-manual, which literally meant ‘hand-made mark’.","sign:to give a sign, mark + ature => signature",,"Would the word signature be used for these situations? || Explain why/why not: || The way an adult writes their name the same way every time. || A particular outfit that you always wear and makes people think of you when they see it, like a distinctive hat. || A cake that you’ve never made before, and probably won’t make again because it was too tricky. || Your grandfather’s recipe for shepherd’s pie. || What might count as a signature outfit? || Do you have a signature thing that is particular to you? || Do you have a written signature, or a way you write your name that is the same every time?",,
1,3,10,3,suspect,sus | pect,,To suspect is to think something has happened or someone is guilty without proof.,The police suspect the crime was committed by a gang of three or four people.,Tim’s mother suspected that he had spent the day playing video games.,The swimmers did not suspect there was a crocodile lurking beneath them.,"If you see your dad take the last chocolate from the box, you don’t suspect he took it, because you know or have proof that he did.",verb :: The judge :: suspected the man was lying. || noun :: Three suspects :: were brought in for questioning. || adjective :: The child’s behaviour :: was suspicious.,"Suspect is Latin in origin and came to English through French in about the 1300s. || Suspicious has been used for a similar length of time. || It is an interesting word because it means ‘flow in the opposite direction’ – that is, suspicious describes having a lack of trust (e.g., I am suspicious of your motives) and behaving in a way that results in a lack of trust (e.g., You’re hanging around the chocolates in a suspicious manner).",su:under + spect:to look => suspect,suspect + un || suspect + s || suspect + ed || suspect + ing || suspect + (i)ous || suspect + ly || suspect + ion || suspect + s,"Example or non-example? || A man wearing a balaclava found one kilometre from the scene of a robbery, holding a bag full of cash || The woman on trial for stealing a car || The lawyer who is defending the woman in court || Thinking that your sister probably used the last of the toilet paper || Trusting your friend to do a favour like they promised || The dog who is sitting amongst a pile of couch cushions that have been torn to shreds",,
1,4,1,1,astrology,as | tro | logy,,"Astrology is the study of how the planets, sun, moon and stars move around the sky based on the belief that they can forecast your future.","In astrology, there is a belief that a person’s personality is determined by their star sign.",People who believe in astrology may read their horoscope everyday.,"Astrology is deemed to be a pseudoscience, which means it lacks scientific evidence to support its claims.","Reading tea leaves would not be considered part of astrology, as predictions are not made based on the movements of the planets, sun, moon, and stars.",noun :: In Greek astrology :: there are twelve zodiac signs. || noun :: The scientist :: does not believe in astrology.,"Astrology is of Greek origin, from astron, meaning ‘star’, || and logia, meaning ‘treating of’. It has been in use since || the late 14th century, and it was another word for astronomy, which is the scientific study of the stars, planets and other natural objects in space. || By the 17th century, the word astrology was only used to describe the study of how the stars, planets, sun, and moon may influence people’s lives and personalities. || The Greek Zodiac is based on the stories of Greek mythology whereas Chinese astrology is based on a twelve-year cycle of animal signs.",astro:star + logy:study of => astrology,astrology + er => astrologer || astrology + er:+ || ical + ly => astrologically,"Would the word astrology be used for these situations? || Explain why/why not: || Creating a birth chart to forecast your future based on the position of the sun, moon and planets when you were born. || Reading a book about the characteristics of people based on their star/zodiac sign. || Studying the presence of black holes in outer space. || Getting a tarot card reading. || Where might you find information about astrology?",,
1,4,1,2,microcosm,mi | cro | cosm,,"A microcosm is a small society, place or situation that has the same characteristics as a much larger one.","A single game might be considered a microcosm of a sports team’s entire season, and a city or town could be considered to be a microcosm of a larger society.",,,"The universe is not a microcosm, as it includes all of space and time.",noun :: Tiny organisms :: live in natural microcosms.,"Microcosm is of Greek origin, from mikros, meaning ‘small’ and kosmos, meaning ‘world’. It was first used in the late 12th century. || It was often used by medieval writers refer to humans.","micro:small + cosm:world, universe => microcosm || microcosm + s => microcosms || microcosm + ic => microcosmic || microcosm + al => microcosmical",,Example or non-example? || A water sample taken from the local pond. || All of the water in the pond. || A group of people who were randomly contacted to complete a survey about climate change. || Surveying everyone in the town about their opinions on local road safety.,,
1,4,1,3,nautical,naut | ic | al,,"Nautical means relating to ships, sailors or sailing.","Nautical equipment includes ropes, compasses, navigational charts and anchors.","If someone is wearing blue and white stripes, like a sailor’s uniform, you might describe their outfit as nautical.",,"Aeroplane pilots do not have to have nautical experience, as they do not sail ships.",adjective :: The community :: was proud of their nautical history. || adjective :: The school disco :: had a nautical theme.,"Nautical is of Greek origin, from nautikos, meaning ‘seafaring, naval’. || It has been in use since the 1550s.","naut:sailor + ical:connected, dealing with => nautical",nautical + ly => nautically,Write sentences using at least two of the words you build.,,
1,4,2,1,detain,de | tain,,To detain someone means to force them to stay in a particular place.,The police may detain someone if they are suspected of committing a crime.,A person may be detained at the airport if they try to bring banned items into a country.,,You are not being detained if the police stop you to ask a question without forcing you to stay.,verb :: The rioters :: were detained by the police. || verb :: Security :: threatened to detain the man accused of shoplifting.,"Detain is of Latin origin, from the word detinere, meaning ‘hold off, keep back’, and has been used since the early 15th century.","de:un, down, off, totally, out, away + tain:to hold => detain",detain + s || detain + ed || detain + ing || detain + er || detain + s,Would the word detain be used for these situations? || Explain why/why not: || Being asked to stay back after class so your teacher can talk to you. || Going through customs at the airport. || Being in detention after misbehaving in class. || Being placed in the back of a police van. || Who is able to detain people? || Can you think of any other reasons why someone might be detained?,,
1,4,2,2,abstain,ab | stain,,To abstain from something means to purposefully not do it.,"If you’re trying to be healthy, you might try to abstain from eating chocolate.",People who are vegetarian abstain from eating meat.,,"If dessert is not offered, you are not abstaining from eating the dessert because the choice was out of your control.",verb :: My parents :: would like me to abstain from playing video games. || verb :: The bodybuilder :: is abstaining from eating junk food.,"Abstain is of Latin origin, from the word abstinere, meaning ‘withhold, keep back, keep off’. || It has been in use since the late 14th century.","ab(s):away, from + tain:to hold => abstain",abstain + s || abstain + ed || abstain + ing || abstain + er || abstain + s,Example or non-example? || Not eating dessert because you are trying to be healthy. || Refusing to eat your vegetables because you don’t like them. || Saying no to watching a movie because you already have other plans. || Wanting to go to the movies but not being able to because your parents say no. || Deleting YouTube off your iPad so you won’t waste so much time.,,
1,4,2,3,obtain,ob | tain,,To obtain something means to get it or achieve it.,Limited edition sneakers can be very hard to obtain.,Table salt is obtained by crushing and processing rock salt.,,"You would not say that you obtained a painting if you created it yourself. However, if you bargained with someone to buy a painting they produced, you have obtained it.",verb :: The mysterious buyer :: obtained the ancient artifact by paying a huge amount of money. || verb :: Music fans :: obtain tickets to see their favourite musicians after spending hours in online queues.,"Obtain is of Latin origin, from obtinere, meaning ‘hold, hold fast, take hold of, get possession of, acquire’. || It has been in use since the early 15th century.","ob:in front of, towards, against + tain:to hold => obtain",obtain + s || obtain + ed || obtain + ing || obtain + er || obtain + s,,,
1,4,2,4,contain,con | tain,,To contain something means to hold it inside or to include it as part of the thing.,Fruit juice contains a lot of sugar.,"The show bag contained a comic, an action figure, and a mask.","If you drop your bag and everything spills out, those items are no longer contained within your bag.",,verb :: My drink bottle :: contained cordial instead of water. || verb :: A person’s diary :: might contain their deepest secrets.,"Contain is of Latin origin, from the word continere, meaning ‘to hold together, enclose’ and has been in use since the 1300s.","con:with, together + tain:to hold => contain",contain + s || contain + ed || contain + ing || contain + er || contain + s,Write sentences using at least two of the words you build.,,
1,4,3,1,century,cen | tury,,"A century is a group of one hundred things, but most commonly used when referring to one hundred years.",Some giant tortoises live for more than a century.,"A century ago, most people walked to work.",Ricky Ponting has scored 41 International Test centuries for Australia but Shane Warne never scored a century of runs in cricket.,,"noun :: The school :: has been on its present site for over a century. || noun :: This century :: has witnessed amazing new technology, such as artificial intelligence.","Century is of Latin origin, from centuria meaning ‘a group of one hundred things of one kind’. || In Ancient Rome, a century was a unit of 100 foot-soldiers. || The Modern English meaning ‘a period of 100 years’, was first used in the 1650s and is short for ‘century of years.’",cent:one hundred + ury:consisting of => century,century + ur (y i):consisting of || century + es,Would century be used to measure these situations? || Explain why/why not: || How long ago you had your last meal. || When the cricket batter scores more than 100 runs. || How long it will take to finish the book. || The age of a very old gum tree in the park. || Can you think of any other examples of when you would use century?,,
1,4,3,2,centimetre,cen | ti | metre,,A centimetre is a unit of length equal to one hundredth of a metre.,The tiny bird was only a few centimetres high.,The length of the pencil was exactly 15 centimetres.,,"One thousandth of a metre is not a centimetre, but a millimetre.",noun :: The fabric :: needs to be cut exactly 10 centimetres wide.,"Centimetre is of Latin origin, from centum, meaning ‘hundred’.",centi:one hundred + metre:measure => centimetre,centimetre + s,Example or non-example? || The length of your pencil. || The length of your hair. || The length of the street. || The length of the Swan River.,,
1,4,3,3,per cent,per |   | cent,,One per cent is one part in a hundred.,Billy scored ninety-eight per cent on his spelling test.,Sixteen per cent of children live in poverty in this country.,,"If two students in a class of 30 have green eyes, then it is not true that 2 per cent of the class has green eyes, because it is not 2 out of 100.",adverb :: The price :: was reduced by ten per cent in the sale.,"Per cent is of Latin origin, from per centum, meaning ‘by the hundred’.",per:for every + cent:one hundred => per cent,,,,
1,4,3,4,centenary,cen | ten | ary,,A centenary is the one hundredth anniversary of an event.,The centenary of the town’s founding was celebrated in 2013.,This year marks the centenary of the opening of the Town Hall.,,"The year 2,000 was not automatically a centenary simply because it was the end of the century – a centenary is 100 years from a particular or special event.",noun :: The Tour de France :: celebrated its centenary in 2003.,"Centenary is of Latin origin, from centenaries, meaning ‘of a hundred, relating to a hundred’. || In a place of centenary, the U.S. English word ‘centennial’ is used.",cent:one hundred + (en)ary:forms nouns => centenary,centenary + bi:tri || centenary + es,Write sentences using at least two of the words you build.,,
1,4,4,1,credible,cred | ible,,"If something is credible, it is able to be believed or trusted.","If a witness to a crime is credible, it means that their description of what happened seems to likely be true.",Newspapers provide credible information about current events.,,"If your friend tells you that they survived being swallowed by a whale, their story is not credible, as it is very unlikely that this actually happened.",adjective :: The credible document :: will be used as evidence. || adjective :: The blog :: was not a credible source of health information.,"Credible is of Latin origin, from credibilis, meaning ‘worthy to be believed’, and has been used since the late 14th century.","cred:to trust, to believe + ible:capable of => credible",credible + in:not || credible + ly,Would the word credible be used for these situations? || Explain why/why not: || Telling your teacher the dog ate your homework. || The information contained in your school textbooks. || Your classmate telling you they are going to hang out with Olivia Rodrigo on the weekend. || Your friend telling you that they went to the movies on the weekend. || How can you tell if something is credible? || Where would you go to find credible information?,,
1,4,4,2,credulous,cred | u | lous,,Someone who is credulous believes what others say too easily.,"If you believe everything you read, you might be described as credulous.",People who are credulous are more likely to lose large amounts of money to scams.,,"If you believe your friend when they tell you what they did on their holidays, you are not being credulous, as it is likely that your friend is telling the truth.",adjective :: The credulous crowd :: believed the inventor’s claims. || adjective :: Used car salesmen :: enjoy selling to credulous buyers.,"Credulous is of Latin origin, from the word credulus, meaning ‘that easily believes, trustful’. || It has been in use since the 1570s.","cred:to trust, to believe + (ul)ous:full of, characterised by => credulous",credulous + in || credulous + ly,Example or non-example? || Buying a salt lamp because someone told you it will improve the air quality in your home. || Buying a new television after carefully researching different makes and models. || Believing that frogs can fly because you saw it online. || Believing that there is water on the moon after reading reports from a 2020 NASA mission.,,
1,4,4,3,credit,cred | it,,To have credit is to have approval or be trusted.,"If someone is credited for their work, they are recognised for it and given approval.","Credit cards allow you to buy things with money borrowed from a bank, and the bank trusts that you will pay it back.",,"If you don’t believe a story, you might say you don’t credit it.",noun :: The store :: provided the family with credit to buy an entertainment system. || verb :: I :: credited my results to the amount of homework I did.,"Credit is of Latin origin, from creditum, meaning ‘a loan, thing entrusted to another’. || It has been in use since the mid-16th century.","credit:to have approval of, be trusted => credit",credit + un:not || credit + s || credit + ed || credit + ing || credit + able || credit + or || credit + s,,,
1,4,4,4,creed,creed,,A creed is a set of beliefs or principles that strongly influence the way a person lives.,People who are religious live their lives by the creed of their religion.,‘Live every day to the fullest’ is an example of a personal creed.,,"Preferring chocolate to vanilla is not an example of a creed, as this is an opinion rather than a set of beliefs or principles.",noun :: The Samurai’s creed :: is based on principles including loyalty and bravery. || noun :: My personal creed :: is to treat all people with kindness.,"Creed is of Latin origin, from the word credo, meaning ‘I believe’. || It was initially used to refer to a set of Christian beliefs, but has been used in a broader sense to mean ‘a statement of belief on any subject’ since the 17th century.",creed:a set of beliefs that influence how a person lives => creed,creed + s,Write sentences using at least two of the words you build.,,
1,4,5,1,dental,dent | al,,The word dental is used to describe things related to teeth.,Good dental hygiene includes regularly brushing and flossing your teeth.,"Check-ups, teeth cleaning, and fillings are all examples of dental treatments.",,"Having your tonsils removed is not a dental procedure, as it is not related to your teeth.",adjective :: Dental surgery :: can involve removing a tooth. || adjective :: My brother’s breath :: smells because he has poor dental hygiene.,"Dental is of Latin origin, from the word dentalis, meaning ‘tooth’, and has been used since the 1590s.",dent:tooth + al:relating to => dental,,"Would the word dental be used for these examples? || Explain why/why not: || Items such as toothbrushes, toothpaste and floss. || Items such as lip balms and lip scrubs. || A tongue tie. || Teeth grinding, cavities, and staining. || Can you think of other dental products or procedures?",,
1,4,5,2,denture,den | ture,,A denture is a set of artificial or false teeth.,Someone may use dentures if their teeth have fallen out or have been removed.,A partial denture is used when someone is only missing some of their teeth.,,"Braces, a plate or a splint are not dentures, because they don’t replace teeth.",noun :: My grandmother :: looks scary without her dentures. || noun :: Greg’s dentures :: are professionally cleaned by the dentist.,"Denture is of Latin origin by way of French, from dens, meaning ‘tooth’ and –ure. || It has been in use with this meaning since 1845.",dent:teeth + ure:action or process => denture,denture + s,Example or non-example? || Glasses to correct your vision. || False teeth. || Dental flipper (a partial set of artificial teeth). || A mouth guard.,,
1,4,5,3,dentist,dent | ist,,A dentist is a person whose job involves examining and treating people’s teeth.,"As part of their work, dentists examine and clean teeth, fill cavities, perform dental surgeries, and discuss good dental hygiene.",People have to study for at least seven years to become a dentist.,"An orthodontist is different to a dentist, as they focus solely on treating crooked teeth and problems with jaw alignment.",,noun :: My dentist :: took an x-ray of my teeth. || noun :: The teenager :: was told by the dentist to floss their teeth.,"Dentist is of Latin origin, by way of French, from dens, meaning ‘tooth’ and -ist. It has been in use since 1759. || Dentistry has been practised for thousands of years but, until recently in Europe, barbers – who cut hair and shave beards – were the people who conducted medical procedures like pulling out rotten teeth and doing surgery. This is because barbers had sharp razors, not because they had much medical training!",dent:tooth + ist:one who does => dentist,dentist + s:ry,,,
1,4,5,4,indent,in | dent,,To indent means to mark the edge or border of something.,"When writing a new paragraph, it is common to indent the first line so that it is further away from the edge than the other lines.","On a keyboard, the tab key is used to indent a line of text.",,"Leaving a space between paragraphs is not the same as indenting, as all of the lines are the same distance away from the edge.",verb :: The toddler :: indented the table surface by stabbing it with her fork. || verb :: Some authors :: choose not to indent the paragraphs in their work.,"Indent is of Latin origin by way of French, from the word indentare, meaning ‘to furnish with teeth’. || It has been in use since the early 15th century. || The history of the word indenture, with the root meaning ‘tooth’, is not obvious. When contracts were written between a master and their servant, the paper the contract was written on would be cut apart in a jagged or indented line, and the servant would keep one part and the master would keep the other. The contract could then be proved to be real by aligning each part of the document.","in:into, in, on, upon + dent:tooth => indent",indent + s || indent + ed || indent + ing || indent + er:(at)ion || indent + s || indent + ure || indent + ed,Write sentences using at least two of the words you build.,,
1,4,6,1,chronology,chro | no | logy,,"Chronology is the order in which a series of events happened, or a list of that order.","When an individual writes an autobiography, they typically give a detailed chronology of their life.","In order to solve a mystery or crime, a detective will often need to determine the chronology of events.",,"If a history book jumps back and forth between time periods, it does not provide a chronology of the events, as they are not described in the order in which they happened.",noun :: The movie :: followed the chronology of Barack Obama’s time as President. || noun :: My report :: will be a chronology of the Australian cricket team’s most important matches.,"Chronology is of Greek origin, from chrono, meaning ‘time’, and logia, meaning ‘a speaking, theory, science’. || The word has been in use since the 1590s and has meant a ‘particular statement of the supposed order of certain past events’ since the 1610s.",chrono:time + logy:study of => chronology,chronology + s => chronologies || chronology + ist(s)   =:chronologist(s) || chronology + ic(al) => chronologic(al) || chronologic + al(ly) => chronological(ly),Would the word chronology be used for these examples? || Explain why/why not: || A timeline of World War II. || A ranking of the most successful movie directors of all time. || A book explaining how to make candles. || A book which provides a detailed and ordered history of how electricity was discovered. || Can you think of any other examples of chronologies? || When might you want to refer to a chronology?,,
1,4,6,2,photometer,pho | to | met | er,,A photometer is a piece of equipment which is used to measure the intensity of a particular light source.,A photometer works by turning light into electricity.,The first photometer was constructed in 1861.,"Astronomers use photometers to determine the brightness of planets, stars and other objects in space.",,noun :: Several astronomers :: worked to attach the photometer to the telescope. || noun :: The photographer :: used a photometer to work out the best camera settings.,"Photometer is of Greek origin, from photo meaning ‘light’, and meter, meaning ‘device for measuring’. || It was first used in 1778.",photo:light + meter:measuring device => photometer || photometer + s => photometers || photometer + ed => photometered || photometer + ing => photometering || photometer + ic => photometric || photometer + ry => photometry,,Example or non-example? || Measures the process of light turning into heat. || Measures the brightness of the light provided by streetlights. || Measures the brightness of planets in our solar system. || Measures light radiation from the sun.,,
1,4,6,3,chronic,chron | ic,,"If something is chronic, it continues for a long time.",Chronic illnesses include asthma and diabetes.,Many people suffer from chronic back pain.,,"Breaking a bone would not be considered a chronic injury, as it typically heals within weeks to months.",adjective :: Our librarian :: retired due to chronic ill health. || adverb :: My friend :: is chronically late to parties.,"Chronic is of Greek origin by way of Latin and French, from khronikos, meaning ‘of time, concerning time’. || It has been in use since the early 15th century.",chron:time + ic:having the manner or nature of => chronic,chronic + al:+,Build words using morpheme tiles: || chrono/corn || logy || -ic || photo || meter,,
1,4,7,2,detention,de | ten | tion,,Detention is the act of holding someone in a particular place as a punishment.,Students might get detention as punishment for not finishing homework.,Suspects are held in detention when they are arrested.,,"Someone who has to stay in hospital is not in detention, because they are not being contained there for punishment.",noun :: Detention :: is the punishment for not wearing school uniform correctly.,"Detention is of Latin origin, from detentionem, || meaning ‘to hold back, keep off’. || The word has been used for the school punishment since the 1850s, but was originally used to refer to the way Mary, Queen of Scots, was detained by her cousin, Queen Elizabeth I, in the 1500s. || Queen Elizabeth ruled England and Mary ruled Scotland; however, Mary was accused of wanting to overthrow Queen Elizabeth and take over the English throne. When Queen Mary entered England, Queen Elizabeth held her in detention for more than 18 years until Queen Mary’s death. However, Queen Mary’s son, James, became Queen Elizabeth’s heir too, and eventually ruled both England and Scotland.","de:un, down, off, totally, out, away + ten:to hold + (t)ion:noun of action => detention",,Would the word detention be used for these situations? || Explain why/why not: || The class has to stay in at recess because they were too noisy during the lesson. || A suspected criminal is held at the police station until they go to court. || You visit a tropical island resort and decide not to leave for a week. || A soccer player is sent off for dangerous play and has to sit alone on the bench for 10 minutes.,,
1,4,7,3,disaster,dis | aster,,A disaster is a very bad accident or event.,"Natural disasters, like earthquakes and tsunamis, destroy houses and buildings.",The birthday cake was a disaster because Tom accidentally used salt instead of sugar.,,Tripping and grazing your knee would not be a disaster because it is not a very bad accident.,noun :: The party :: was a complete disaster because there was not enough food. || adjective :: The disastrous cyclone :: destroyed most houses in the town.,"Disaster uses both Latin and Greek morphemes. || It came to English in the 1590s from French desastre, || which itself came from Italian disastro. || There was already an English phrase that meant the same thing: ill-starred. At about the same time that disaster came into English, William Shakespeare wrote the play Romeo and Juliet, and described them as ‘star-crossed lovers’. The idea that the stars held your destiny – good or bad – was very strong at that time. Using the word disaster means we keep referring to bad events being caused by the stars, even if we don’t really believe it today.",dis:ill + aster:star => disaster,disaster + s || disaster + ous,"Example or non-example? || You break your arm just before you are due to play in the grand final. || A bushfire burns through hundreds of hectares of bush and destroys 10 houses. || A train crashes into a car on the tracks, with many people injured. || An oil tanker sinks and spills oil through the ocean. || You get a papercut.",,
1,4,7,4,cosmology,cos | mo | logy,,Cosmology is the study of the origin and nature of the universe.,"Cosmology involves different branches of science, including astronomy and physics.",The Big Bang theory is the most well-known theory in cosmology.,,"If you study fossils, this is not part of cosmology, as it is not related to how the universe was created.",noun :: Neil deGrasse Tyson :: tries to explain principles of cosmology in simple terms. || noun :: Many people :: do not know the difference between cosmology and astronomy.,"Cosmology is of Greek origin by way of Latin, from kosmos, meaning ‘world, universe’, and logia, meaning ‘a speaking, theory, science’. || It was first used in the 1650s. || chronology – chronic || photometer – chronology || cosmology - chronic","cosm(os):world, universe + logy:study of => cosmology || cosmology + s => cosmologies || cosmology + ist(s) => cosmologist(s) || cosmology + ic(al) => cosmologic(al)",,,,
1,4,8,3,sustain,sus | tain,,To sustain something is to keep it going.,Students should sustain their attention when their teacher is talking.,The marathon runner sustained the same pace throughout the race.,,A cup of milk probably isn’t enough food to sustain you until lunchtime.,verb :: The opera singer :: sustained the high note at the end of the song.,"Sustain is of Latin origin, from sustinere, meaning ‘to hold up or hold upright’. || It has been used in English since the 1200s to mean || ‘to provide what is necessary for life’ and also ‘to keep something going, like an argument’. || It also developed a meaning in the 1300s to refer to suffering an injury or a loss, and we still use sustain in all those ways today.",sus:under + tain:to hold => sustain,sustain + un || sustain + s || sustain + ed || sustain + ing || sustain + ance || sustain + able || sustain + ly,"Would the word sustain be used for these situations? || Explain why/why not: || You stay awake and focused all the way through a movie. || Your lunch was big enough to keep you going until dinner. || The football player gets an injury when they land awkwardly from a jump for the ball. || A student zones out while the teacher is talking and misses the instruction. || A cyclist gets slower and slower as they ride up a hill, until they finally get off and start walking. || What kind of food sustains you, or is good sustenance for you? || What type of food is less sustaining or keeps you going for less time? || What are you expected to sustain while you’re in the classroom, or during a sports game?",,
1,4,8,4,expect,ex | pect,,To expect something is to believe it will happen.,I expect the visitors to arrive at about 2pm.,The students are expected to sustain attention during assembly.,,We don’t expect it to snow in Darwin.,verb :: The boy :: expected to get a bike for his birthday.,"Expect is Latin in origin, from the word expectare, meaning ‘to look out for, or hope for’. || It has been used in English since the 1550s.","ex:out, away + (s)pect:to look => expect",expect + un || expect + s || expect + ing || expect + ed || expect + ly || expect + (at)ion || expect + s,Example or non-example? || You think the next lesson is going to be maths. || You saw ice cream in the freezer and hope that it will be your dessert. || You friend surprises you by turning up at your house. || The train is 10 minutes early and leaves before the timetable says it is due to leave. || The train arrives and leaves on time.,,
